Region;Product;Sales;Profit;Currency;Customer_ID;Invoice_ID;Description;Transaction_Date
North;Laptop;4922,76;107,12;USD;Heidi;INV8450;Item 8532 - drop;2024-06-26
North;Monitor;666,66;1242,98;Unknown;Joshua;INV2501;Item 2275 - move;2024-10-26
East;Laptop;4507,57;253,96;MXN;Heidi;INV4475;Item 6129 - boy;2025-04-06
South;Laptop;1031,39;1210,65;Unknown;Jennifer;INV1349;Item 8033 - major;2024-05-10
South;Smartphone;317,49;1513,82;MXN;Bobby;INV1828;Item 7626 - pull;2025-01-13
South;Smartphone;2236,68;;MXN;Caitlyn;INV6464;Item 7843 - media;2025-02-26
North;Headphones;2647,61;1490,57;;Cristian;INV4990;Item 5743 - quickly;2025-04-02
North;Headphones;4051,9;914,83;USD;Rebecca;INV3063;Item 2887 - others;2025-03-19
West;Headphones;3465,6;;EUR;Briana;INV4362;Item 7636 - smile;2024-12-08
North;Smartphone;4707,29;-397,33;MXN;Michael;INV2124;Item 1341 - through;2024-09-25
North;Headphones;;831,86;Unknown;Stephanie;INV4394;Item 6321 - size;2025-01-30
North;Laptop;3711,48;1153,8;;Anthony;INV4538;Item 3815 - fill;2024-11-02
South;Smartphone;1065,47;-327,61;Unknown;Michael;INV4817;Item 8538 - few;2024-11-20
South;Headphones;2213,36;1118,86;MXN;Anthony;INV6383;Item 6928 - rich;2024-11-17
North;Laptop;4749,48;-468,37;;Brian;INV3417;Item 2443 - policy;2024-06-10
South;Headphones;4611,78;550,15;Unknown;Barbara;INV1046;Item 8155 - now;2025-01-21
West;Tablet;3153,46;725,5;-;Michael;INV5542;Item 2734 - activity;2024-08-26
South;Headphones;3350,6;583,81;USD;David;INV3370;Item 4986 - pressure;2024-09-08
West;Tablet;710,66;405,47;Unknown;Jennifer;INV3129;Item 8138 - class;2025-04-16
East;Headphones;4510,23;1728,94;USD;Elizabeth;INV9850;Item 7560 - production;2024-09-28
North;Monitor;2584,9;649,35;MXN;Sharon;INV5106;Item 9584 - religious;2024-07-22
South;Headphones;3367,78;-117,52;MXN;Matthew;INV3858;Item 2288 - game;2024-10-05
West;Smartphone;1698,3;-59,66;MXN;Regina;INV2801;Item 7484 - physical;2024-08-08
East;Smartphone;3516,32;804,37;USD;Kevin;INV1422;Item 6083 - guess;2024-05-20
East;Tablet;2816,62;1126,14;Unknown;Cristian;INV3159;Item 6562 - say;2025-01-19
South;Smartphone;1040,02;1039,78;-;Christopher;INV1243;Item 4630 - example;2025-02-16
South;Laptop;3358,15;1799,04;USD;Stephanie;INV6869;Item 6456 - agree;2024-11-07
East;Monitor;1957,81;1436,6;;Veronica;INV4898;Item 3754 - employee;2024-05-04
North;Monitor;3765,86;662,18;-;Austin;INV6304;Item 2251 - glass;2024-04-26
North;Laptop;;1564,34;Unknown;Anthony;INV1258;Item 9363 - no;2024-06-11
West;Tablet;952,73;981,19;Unknown;Michael;INV3854;Item 2868 - cup;2024-11-09
North;Laptop;2888,62;305,76;USD;Christopher;INV5347;Item 9693 - charge;2025-02-26
East;Laptop;2089,77;113,74;EUR;Raymond;INV1858;Item 9355 - scientist;2024-08-28
East;Monitor;4185,25;1836,55;-;Joshua;INV3076;Item 4176 - recently;2024-12-07
East;Headphones;1588,99;197,32;MXN;Nancy;INV7897;Item 6724 - style;2024-06-09
North;Monitor;1129,9;627,01;-;John;INV9619;Item 6752 - crime;2024-06-19
West;Monitor;3950,22;1376,19;Unknown;Bobby;INV2862;Item 3419 - race;2024-08-18
North;Smartphone;3072,64;;;Joshua;INV2041;Item 4871 - light;2024-04-24
West;Laptop;1679,02;924,62;Unknown;Christine;INV8802;Item 2684 - go;2025-01-05
North;Monitor;2264,75;1170,47;USD;Kevin;INV8344;Item 3399 - account;2024-10-10
East;Laptop;3410,57;340,99;EUR;Christine;INV6931;Item 5193 - former;2025-02-26
East;Smartphone;2604,75;735,77;MXN;David;INV9408;Item 4232 - summer;2024-10-31
South;Laptop;;312,54;-;Austin;INV2786;Item 3842 - early;2024-12-20
North;Monitor;3989,3;718,87;EUR;David;INV8405;Item 3504 - leader;2024-05-12
North;Laptop;4803,18;;MXN;Amanda;INV9254;Item 2234 - forward;2024-12-19
South;Smartphone;3706,21;387,06;Unknown;Brian;INV4629;Item 3902 - arrive;2025-02-08
East;Headphones;3328,37;145,88;;Ronald;INV1710;Item 9095 - need;2024-12-09
North;Laptop;1490,55;199,15;Unknown;Travis;INV9543;Item 8601 - address;2024-11-18
South;Monitor;3352,88;990,39;USD;Barbara;INV5941;Item 8354 - meet;2024-07-23
North;Smartphone;3134,38;1700,27;USD;Christine;INV8504;Item 6295 - goal;2024-12-21
West;Monitor;557,6;889,48;;Jennifer;INV1510;Item 6179 - sure;2024-08-29
East;Monitor;4764,8;791,57;-;Jessica;INV1996;Item 3473 - home;2024-11-04
West;Laptop;1250,86;-22,36;EUR;Dalton;INV8847;Item 8205 - art;2024-08-08
East;Monitor;1621,06;103,39;;Jamie;INV7580;Item 2118 - material;2024-04-26
South;Laptop;4052,16;516,07;EUR;Brandon;INV7984;Item 8682 - choose;2024-06-21
East;Headphones;822,03;887,94;MXN;Dalton;INV2768;Item 8245 - hotel;2024-09-22
East;Monitor;326,45;100,81;-;Caitlyn;INV9032;Item 5961 - organization;2024-08-15
South;Monitor;4921,29;690,23;USD;David;INV8267;Item 5500 - close;2024-04-29
East;Monitor;;1279,61;-;Jessica;INV2204;Item 1920 - daughter;2024-06-09
North;Tablet;3095,24;620,44;Unknown;Briana;INV2323;Item 6766 - conference;2024-06-23
South;Tablet;3865,6;-456,89;USD;Brandon;INV6277;Item 9312 - term;2025-02-20
South;Smartphone;2331,54;235,59;EUR;Kevin;INV3430;Item 2215 - improve;2024-05-12
South;Tablet;4442,07;511,0;USD;Briana;INV2076;Item 6085 - its;2024-09-18
West;Smartphone;2920,79;108,26;Unknown;Stephanie;INV3067;Item 8565 - air;2024-09-09
West;Tablet;3619,89;1159,9;USD;Raymond;INV5505;Item 8404 - she;2024-10-30
East;Headphones;1981,49;422,55;;Heidi;INV9984;Item 1616 - personal;2025-01-16
South;Smartphone;2058,3;883,68;EUR;Anthony;INV6327;Item 1932 - next;2024-08-25
East;Tablet;823,1;359,39;Unknown;Jennifer;INV7240;Item 7041 - team;2024-10-27
North;Headphones;3469,35;1991,58;;Steven;INV9692;Item 5703 - me;2024-06-12
South;Tablet;4474,03;875,97;MXN;Candice;INV5831;Item 2257 - begin;2024-12-06
North;Laptop;4316,16;379,53;-;Jessica;INV8433;Item 2479 - executive;2024-08-18
East;Laptop;4438,78;634,36;;Brian;INV9282;Item 9307 - always;2024-06-12
West;Headphones;;266,56;MXN;Jennifer;INV8048;Item 7299 - not;2024-07-20
East;Monitor;3914,26;76,35;Unknown;Lisa;INV2624;Item 8581 - others;2024-06-17
North;Monitor;1172,32;1303,21;Unknown;Stephanie;INV2874;Item 1672 - prove;2024-11-16
South;Laptop;4040,14;288,87;Unknown;John;INV4522;Item 8368 - add;2025-02-13
East;Laptop;3509,97;1357,2;EUR;Stephanie;INV8046;Item 4084 - far;2024-11-04
South;Monitor;2376,29;1877,19;Unknown;Rachel;INV8398;Item 6267 - finally;2024-10-14
West;Smartphone;2831,29;1225,41;-;Nichole;INV4743;Item 8792 - appear;2024-05-16
West;Monitor;4595,6;-21,15;EUR;Christopher;INV7779;Item 9214 - degree;2024-11-05
West;Tablet;694,66;1346,51;Unknown;Regina;INV6553;Item 3471 - along;2025-02-24
South;Smartphone;753,36;191,25;EUR;Nichole;INV8430;Item 2013 - time;2024-12-05
East;Tablet;2376,75;973,97;-;Cristian;INV7532;Item 8381 - knowledge;2024-08-06
South;Laptop;2702,55;1400,52;-;Daniel;INV7815;Item 2695 - glass;2024-12-10
South;Smartphone;2838,73;991,98;;Candice;INV2557;Item 6626 - will;2024-07-31
East;Tablet;1654,76;;EUR;Lisa;INV6120;Item 2381 - consumer;2025-01-18
West;Tablet;3800,73;1951,28;USD;Priscilla;INV7992;Item 9266 - speak;2024-10-21
West;Smartphone;2268,61;1581,57;MXN;David;INV6120;Item 3827 - read;2024-07-13
East;Headphones;4093,53;240,62;Unknown;Alex;INV5176;Item 1641 - especially;2024-11-26
South;Monitor;4470,9;402,2;MXN;Dalton;INV7132;Item 5059 - collection;2024-07-03
South;Tablet;2191,03;;-;Brenda;INV3500;Item 8172 - give;2025-02-24
West;Monitor;4543,59;;MXN;Madeline;INV8770;Item 8199 - effect;2024-09-02
North;Monitor;2284,98;255,67;USD;Raymond;INV2099;Item 9586 - itself;2024-12-05
North;Laptop;879,87;1270,05;MXN;Lisa;INV2494;Item 9564 - safe;2024-05-18
North;Monitor;4321,33;-183,54;;Elizabeth;INV2398;Item 3600 - so;2025-03-20
South;Tablet;2305,34;-386,21;MXN;Daniel;INV2527;Item 6962 - drive;2024-05-10
South;Laptop;3783,71;-363,68;-;Jacob;INV8075;Item 7108 - security;2025-02-01
West;Smartphone;4215,33;230,34;-;Julie;INV2582;Item 5634 - whatever;2025-01-01
North;Tablet;;1860,22;;Travis;INV7105;Item 7347 - exist;2025-01-06
West;Laptop;1458,83;1094,67;Unknown;Sharon;INV3131;Item 7697 - bill;2025-04-01
West;Laptop;;1381,98;EUR;Anthony;INV1982;Item 6543 - piece;2024-11-02
West;Monitor;3910,61;-243,53;Unknown;Nancy;INV6400;Item 1857 - seven;2024-05-05
East;Smartphone;2474,53;-469,34;-;David;INV3002;Item 6482 - responsibility;2025-01-02
North;Tablet;1272,3;210,85;Unknown;Dalton;INV7730;Item 2079 - hand;2024-11-02
North;Tablet;2255,38;696,79;MXN;Melissa;INV6793;Item 6401 - party;2024-08-26
East;Monitor;3596,37;351,76;MXN;Savannah;INV7929;Item 2548 - least;2024-06-01
East;Smartphone;1249,02;1913,74;-;Michael;INV1842;Item 7333 - simply;2025-03-02
North;Tablet;1745,65;131,2;-;Matthew;INV5712;Item 5655 - candidate;2024-04-25
East;Smartphone;4475,83;1654,31;Unknown;Rebecca;INV6119;Item 5128 - piece;2024-09-09
West;Tablet;494,83;-214,78;Unknown;Steven;INV6761;Item 3463 - down;2024-11-13
South;Monitor;839,07;-336,64;MXN;Briana;INV2697;Item 6461 - wear;2024-07-11
West;Headphones;1976,87;729,37;EUR;Jennifer;INV9313;Item 2335 - even;2025-03-31
North;Tablet;848,75;;;Candice;INV4485;Item 3317 - thus;2025-04-08
East;Laptop;1148,37;942,55;EUR;Jennifer;INV3535;Item 6731 - quality;2025-04-18
South;Laptop;2132,85;1216,13;-;Ronald;INV8900;Item 6082 - dream;2024-08-30
North;Headphones;1721,32;-120,68;Unknown;Luis;INV4674;Item 7421 - within;2024-07-29
East;Tablet;2383,03;1527,86;EUR;Daniel;INV2773;Item 3112 - art;2024-09-28
South;Laptop;405,1;1872,81;Unknown;Priscilla;INV6736;Item 2388 - visit;2025-01-06
South;Laptop;4181,17;-287,05;USD;Ronald;INV7022;Item 6072 - natural;2025-03-08
East;Tablet;2008,44;120,48;MXN;Barbara;INV2882;Item 7171 - win;2024-05-27
South;Smartphone;3872,0;895,18;;Anthony;INV5564;Item 6381 - kid;2025-04-21
North;Tablet;4735,7;540,44;Unknown;Elizabeth;INV4705;Item 3093 - speak;2025-03-11
East;Smartphone;195,71;990,32;;Savannah;INV8030;Item 9624 - despite;2024-05-18
West;Headphones;4415,22;1046,05;Unknown;Michael;INV1430;Item 2531 - wife;2024-05-04
